,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
2,'5764608310150807853',12/6/2020,-123.57,-19.79,7,114.831162,-8.791778,POINT (114.831162 -8.791778000000001)
18,'5764608310150857913',12/6/2020,-121.0,-20.0,3,114.921799,-8.915937,POINT (114.921799 -8.915937)
19,'5764608310150858574',12/6/2020,-120.46,-15.96,26,114.92351599999999,-8.908814,POINT (114.923516 -8.908814)
21,'5764608310150868660',12/6/2020,-124.0,-20.0,4,114.959565,-8.915598,POINT (114.959565 -8.915597999999999)
26,'5764608310150885619',12/6/2020,-123.0,-20.0,2,114.943428,-8.858951,POINT (114.943428 -8.858950999999999)
29,'5764608310150891125',12/6/2020,-121.5,-20.0,2,114.87991399999999,-8.825706,POINT (114.879914 -8.825706)
43,'5764608310150913053',12/6/2020,-120.5,-20.0,6,114.88472,-8.763277,POINT (114.88472 -8.763277)
50,'5764608310150932436',12/6/2020,-120.4,-19.4,5,114.94720500000001,-8.820617,POINT (114.947205 -8.820617)
77,'5764608310151620270',12/6/2020,-120.14,-19.93,14,114.90566299999999,-8.743257,POINT (114.905663 -8.743257)
79,'5764608310151623820',12/6/2020,-121.8,-20.0,5,114.898453,-8.721539,POINT (114.898453 -8.721539)
92,'5764608310151674031',12/6/2020,-124.28,-20.0,7,114.955101,-8.68862,POINT (114.955101 -8.68862)
95,'5764608310151711899',12/6/2020,-123.8,-20.0,5,114.93175500000001,-8.655358999999999,POINT (114.931755 -8.655358999999999)
97,'5764608310151723526',12/6/2020,-126.25,-20.0,8,114.95578799999998,-8.645516,POINT (114.955788 -8.645516000000001)
98,'5764608310151727122',12/6/2020,-123.0,-19.75,2,114.928322,-8.623114,POINT (114.928322 -8.623113999999999)
99,'5764608310151737045',12/6/2020,-122.0,-20.0,8,114.95819099999999,-8.608516999999999,POINT (114.958191 -8.608516999999999)
104,'5764608310152130928',12/6/2020,-121.91,-19.04,68,115.02822900000001,-8.940696,POINT (115.028229 -8.940696000000001)
123,'5764608310152226681',12/6/2020,-123.0,-20.0,9,115.078354,-8.951210000000001,POINT (115.078354 -8.951210000000001)
132,'5764608310152231751',12/6/2020,-123.62,-14.19,42,115.087624,-8.941035000000001,POINT (115.087624 -8.941035000000001)
134,'5764608310152232313',12/6/2020,-121.0,-18.25,6,115.08384699999999,-8.929504,POINT (115.083847 -8.929504)
138,'5764608310152250333',12/6/2020,-120.19,-19.9,26,115.1017,-8.961383999999999,POINT (115.1017 -8.961383999999999)
139,'5764608310152250585',12/6/2020,-125.58,-18.17,12,115.096207,-8.956636,POINT (115.096207 -8.956636)
140,'5764608310152251561',12/6/2020,-120.37,-18.51,40,115.108567,-8.971558,POINT (115.108567 -8.971558)
141,'5764608310152252015',12/6/2020,-121.0,-20.0,2,115.11165700000001,-8.968166,POINT (115.111657 -8.968166)
149,'5764608310152256593',12/6/2020,-122.28,-15.12,167,115.10376000000001,-8.93493,POINT (115.10376 -8.93493)
152,'5764608310152259058',12/6/2020,-124.83,-17.79,12,115.11921000000001,-8.951549,POINT (115.11921 -8.951549)
153,'5764608310152259069',12/6/2020,-121.0,-16.12,4,115.119553,-8.950531,POINT (115.119553 -8.950531)
159,'5764608310152262089',12/6/2020,-120.8,-14.97,15,115.11818000000001,-8.941714,POINT (115.11818 -8.941713999999999)
166,'5764608310152273790',12/6/2020,-126.0,-15.31,8,114.979821,-8.885749,POINT (114.979821 -8.885749000000001)
178,'5764608310152279229',12/6/2020,-120.45,-18.45,260,114.98771699999999,-8.893550999999999,POINT (114.987717 -8.893550999999999)
192,'5764608310152279923',12/6/2020,-120.34,-19.5,109,114.99011999999999,-8.886089,POINT (114.99012 -8.886089)
194,'5764608310152280110',12/6/2020,-121.33,-18.5,12,114.9963,-8.906101,POINT (114.9963 -8.906101)
196,'5764608310152280162',12/6/2020,-120.5,-20.0,2,114.99561299999999,-8.904066,POINT (114.995613 -8.904066)
200,'5764608310152281907',12/6/2020,-127.17,-19.79,12,115.001107,-8.888802,POINT (115.001107 -8.888802)
203,'5764608310152284365',12/6/2020,-121.2,-16.52,41,114.975357,-8.88134,POINT (114.975357 -8.88134)
214,'5764608310152288766',12/6/2020,-127.2,-17.9,5,114.977074,-8.853185,POINT (114.977074 -8.853185)
216,'5764608310152289081',12/6/2020,-120.41,-19.36,22,114.979477,-8.856238000000001,POINT (114.979477 -8.856238000000001)
217,'5764608310152289200',12/6/2020,-121.33,-17.42,6,114.98153700000002,-8.856577,POINT (114.981537 -8.856577)
221,'5764608310152289246',12/6/2020,-122.5,-19.25,14,114.98119399999999,-8.853185,POINT (114.981194 -8.853185)
222,'5764608310152289248',12/6/2020,-125.92,-19.33,36,114.98153700000002,-8.85522,POINT (114.981537 -8.855219999999999)
224,'5764608310152289530',12/6/2020,-120.67,-19.83,3,114.977074,-8.848435,POINT (114.977074 -8.848435)
228,'5764608310152289860',12/6/2020,-121.5,-17.26,74,114.97741699999999,-8.849114,POINT (114.977417 -8.849114)
231,'5764608310152290017',12/6/2020,-122.07,-18.79,14,114.98153700000002,-8.849453,POINT (114.981537 -8.849453)
