Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
'5764608310152453466',2.02E+16,-125.14,-14.67,36,115.105,-8.84301,POINT (115.10479 -8.843007)
'5764608310152453467',2.02E+16,-120.96,-12.67,149,115.105,-8.84267,POINT (115.10479 -8.842668)
'5764608310152453478',2.02E+16,-121.64,-14.13,90,115.105,-8.84369,POINT (115.105477 -8.843686)
'5764608310152453479',2.02E+16,-121.34,-14.18,47,115.105,-8.84335,POINT (115.105477 -8.843347)
'5764608310152453483',2.02E+16,-120.07,-11.83,57,115.106,-8.84403,POINT (115.106163 -8.844025)
'5764608310152453499',2.02E+16,-121.12,-13.84,146,115.106,-8.84267,POINT (115.106163 -8.842668)
'5764608310152453573',2.02E+16,-122.19,-12.09,59,115.107,-8.84335,POINT (115.106507 -8.843347)
'5764608310152453581',2.02E+16,-121.12,-14.3,25,115.107,-8.84335,POINT (115.107193 -8.843347)
'5764608310152453591',2.02E+16,-120.94,-15.65,221,115.107,-8.84199,POINT (115.10685 -8.841989999999999)
'5764608310152453598',2.02E+16,-122.33,-11.33,6,115.108,-8.84233,POINT (115.107537 -8.842328999999999)
'5764608310152453608',2.02E+16,-120.37,-12.03,441,115.109,-8.84436,POINT (115.108567 -8.844364000000001)
'5764608310152453609',2.02E+16,-120.86,-11.94,627,115.109,-8.84403,POINT (115.108567 -8.844025)
'5764608310152453911',2.02E+16,-122.67,-16.33,6,115.11,-8.8447,POINT (115.109597 -8.844704)
'5764608310152453919',2.02E+16,-121.28,-12.74,356,115.11,-8.8447,POINT (115.110283 -8.844704)
'5764608310152453940',2.02E+16,-123.31,-14.45,55,115.111,-8.84504,POINT (115.110627 -8.845042999999999)
'5764608310152453946',2.02E+16,-122.44,-16.39,9,115.112,-8.84572,POINT (115.111657 -8.845721000000001)
'5764608310152453956',2.02E+16,-121.64,-11.81,147,115.109,-8.84369,POINT (115.109253 -8.843686)
'5764608310152453958',2.02E+16,-121.83,-12.31,81,115.11,-8.84369,POINT (115.109597 -8.843686)
'5764608310152453966',2.02E+16,-125.4,-14.46,15,115.11,-8.84369,POINT (115.110283 -8.843686)
'5764608310152453967',2.02E+16,-124.57,-15.05,21,115.11,-8.84335,POINT (115.110283 -8.843347)
'5764608310152453978',2.02E+16,-129,-17.32,11,115.11,-8.84301,POINT (115.110283 -8.843007)
'5764608310152453986',2.02E+16,-123.97,-14.22,31,115.111,-8.84436,POINT (115.11097 -8.844364000000001)
'5764608310152453989',2.02E+16,-133.43,-18.43,7,115.111,-8.84335,POINT (115.110627 -8.843347)
'5764608310152453995',2.02E+16,-121.59,-15.34,32,115.112,-8.84403,POINT (115.111657 -8.844025)
'5764608310152454003',2.02E+16,-124.5,-14.12,8,115.111,-8.84267,POINT (115.11097 -8.842668)
'5764608310152454045',2.02E+16,-121.6,-11.95,10,115.113,-8.8447,POINT (115.112686 -8.844704)
